# Dataset title: Dataset Abitudini Sportive
# Numero di campioni: 1000
# Bias: 0.54
# Bilanciamento: 49.10%
# Colonna 'ore_settimanali_allenamento': 58 valori NaN
# Colonna 'frequenza_allenamento': 46 valori NaN
# Colonna 'tipo_sport_praticato': 64 occorrenze di -999
# Colonna 'soddisfazione_allenamento': 58 occorrenze di -999
# Colonna 'attrezzatura_comprata_annualmente': 59 occorrenze di -999
# Colonna 'obiettivo_allenamento_label': 59 occorrenze di ***
# Colonna 'obiettivo_allenamento': 48 occorrenze di -999
# Colonna 'frequenza_infortuni_label': 48 occorrenze di ***
# Colonna 'frequenza_infortuni': 42 occorrenze di -999
# Colonna 'alimentazione_durante_allenamento_label': 68 occorrenze di ***
# Colonna 'alimentazione_durante_allenamento': 68 occorrenze di -999
# Colonna 'tempo_riposo_settimanale_label': 36 occorrenze di ***
# Colonna 'tempo_riposo_settimanale': 36 occorrenze di -999
# Colonna 'Y': 64 occorrenze di -999
ore_settimanali_allenamento,frequenza_allenamento,tipo_sport_praticato,soddisfazione_allenamento,attrezzatura_comprata_annualmente,obiettivo_allenamento_label,obiettivo_allenamento,frequenza_infortuni_label,frequenza_infortuni,alimentazione_durante_allenamento_label,alimentazione_durante_allenamento,tempo_riposo_settimanale_label,tempo_riposo_settimanale,Y
3.3,2.43,1,1,1,Perdita peso,0,Mai,-999,***,0,Alta,-999,-999
3.93,2.38,2,2,2,Perdita peso,0,Mai,0,***,0,Media,1,1
8.02,4.23,-999,3,5,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
2.55,2.56,2,1,3,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.16,4.25,4,3,2,Altro,3,Spesso,2,***,2,Media,1,0
6.97,4.58,3,3,0,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,0
6.79,4.22,3,4,3,Altro,3,Sempre,3,***,2,Media,1,0
6.52,4.57,-999,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Bassa,2,1
6.91,3.25,2,2,1,Allenamento cardiovascolare,2,Mai,0,Equilibrata,0,Media,1,0
6.74,4.48,3,-999,-999,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
3.11,3.04,1,1,2,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
8.28,5.6,2,2,1,***,-999,Raramente,1,Equilibrata,0,Alta,0,0
,4.78,1,2,1,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
5.21,2.79,1,3,4,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
9.31,,3,3,5,Altro,3,Spesso,2,***,2,Media,1,0
7.08,3.01,2,3,3,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Bassa,2,0
6.15,4.33,2,2,0,Perdita peso,0,***,1,Equilibrata,0,Bassa,2,1
5.15,2.54,3,2,6,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
7.24,2.67,2,2,4,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
6.43,3.84,2,3,2,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,0
6.3,4.08,3,2,4,Perdita peso,0,Raramente,1,Proteica,1,Bassa,2,1
7.76,4.16,4,4,2,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
10.01,4.75,4,3,1,Altro,3,Raramente,1,Carboidrati,2,Bassa,2,0
7.28,4.17,3,-999,-999,***,-999,Spesso,2,Carboidrati,2,Media,1,0
7.36,3.82,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
4.54,2.58,1,1,1,***,-999,Mai,0,Equilibrata,0,Alta,0,1
6.89,4.35,-999,2,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
7.32,4.1,2,2,3,Perdita peso,0,Raramente,1,Altro,3,Media,1,1
8.09,4.85,4,4,2,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
6.82,3.12,2,-999,-999,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
9.83,,4,3,3,Altro,3,Spesso,2,Altro,3,Bassa,2,0
8.64,3.73,3,2,1,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
8.58,5.49,3,2,2,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Bassa,2,0
9.28,4.19,4,3,2,Allenamento cardiovascolare,2,Raramente,-999,***,3,Media,1,0
5.15,3.36,-999,-999,-999,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
6.16,3.6,2,3,5,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,1
5.42,3.34,1,2,1,Perdita peso,0,Raramente,1,Proteica,1,Alta,0,1
6.45,4.44,4,1,1,Miglioramento muscolare,1,Raramente,1,Altro,3,Bassa,2,-999
15.0,7.0,4,4,4,Altro,3,Sempre,3,Altro,3,Bassa,2,0
8.89,5.26,3,2,3,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,0
4.52,3.06,1,2,0,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
2.97,2.77,1,1,0,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,1
4.92,2.94,1,2,9,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,1
6.71,,3,3,3,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
6.39,3.48,-999,2,4,Perdita peso,0,Mai,0,Equilibrata,0,Alta,-999,-999
6.18,3.0,3,-999,-999,Perdita peso,0,Mai,0,Proteica,1,Bassa,2,1
7.37,5.57,2,2,0,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
11.58,6.24,3,4,5,Altro,3,Spesso,2,Carboidrati,-999,Bassa,2,0
10.84,6.27,4,3,0,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
3.97,2.99,1,2,5,Miglioramento muscolare,1,***,0,Equilibrata,0,Alta,0,1
10.72,5.34,3,4,1,Altro,3,Spesso,2,Altro,3,Bassa,2,0
9.5,4.24,-999,4,4,***,-999,Spesso,2,Altro,3,Bassa,2,0
7.99,4.4,2,4,4,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,0,0
6.55,3.77,4,3,0,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
8.11,3.11,2,4,1,***,-999,Spesso,2,Altro,3,Alta,0,0
5.01,2.96,1,2,2,Miglioramento muscolare,1,Mai,0,Proteica,1,Alta,0,1
5.2,3.49,1,4,4,***,-999,Raramente,1,Equilibrata,0,Alta,0,-999
5.45,2.59,1,1,6,Perdita peso,0,Mai,0,Proteica,1,Alta,0,1
,3.94,2,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.68,4.74,3,2,1,Miglioramento muscolare,1,Raramente,1,Altro,3,Media,1,0
7.59,4.87,3,1,1,Perdita peso,0,Raramente,1,Proteica,1,Bassa,2,1
8.38,4.34,4,4,3,Altro,3,Sempre,3,Carboidrati,-999,***,2,0
11.3,6.09,4,-999,-999,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Bassa,2,0
5.84,2.68,2,1,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
8.37,3.78,4,4,3,Altro,3,Sempre,3,***,3,Media,-999,-999
8.13,4.62,3,2,1,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,0
9.36,4.26,3,4,0,Altro,3,Sempre,3,Altro,3,Bassa,2,0
4.25,2.77,1,-999,-999,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
11.03,5.24,4,4,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.46,4.04,3,3,1,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Media,1,0
7.25,3.1,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Bassa,2,0
6.63,4.03,3,3,0,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Alta,0,1
6.55,2.73,1,2,0,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,-999
10.27,4.99,2,3,1,Altro,3,Raramente,1,Proteica,1,Media,1,0
6.29,3.11,2,2,1,Miglioramento muscolare,1,Raramente,1,***,1,Media,1,1
7.21,3.1,3,4,2,Altro,3,Spesso,2,Altro,3,Media,1,0
8.83,4.57,-999,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Alta,0,0
11.01,6.86,3,3,3,Allenamento cardiovascolare,2,***,3,Carboidrati,2,Bassa,2,0
4.69,2.64,1,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
,3.91,3,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Bassa,2,1
7.67,3.36,3,4,2,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
7.62,4.29,3,-999,-999,***,-999,Raramente,1,Proteica,1,Bassa,2,0
7.1,3.94,2,2,5,Miglioramento muscolare,1,Raramente,1,Proteica,-999,***,1,1
,3.6,2,2,3,Miglioramento muscolare,1,Spesso,2,Proteica,1,Bassa,2,1
6.82,4.08,2,2,4,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
10.18,5.37,3,4,3,Altro,3,Spesso,2,Proteica,1,Bassa,2,0
,2.91,3,4,1,***,-999,Sempre,3,Altro,3,Bassa,2,0
9.13,5.26,2,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
10.89,5.73,3,4,1,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
,4.96,4,3,3,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
9.54,4.4,4,4,2,Altro,3,Sempre,3,Altro,-999,Bassa,2,0
7.65,4.48,-999,2,0,***,-999,Raramente,1,Equilibrata,0,Media,1,1
10.56,4.75,3,4,3,Altro,3,Spesso,2,Altro,3,Media,1,0
,,2,1,1,Perdita peso,0,Raramente,1,Proteica,1,Media,1,-999
8.39,4.94,3,2,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Bassa,2,0
4.48,3.05,-999,2,1,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
7.7,5.42,2,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,0
7.96,4.63,3,3,5,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Bassa,2,0
7.77,4.06,3,3,5,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,2,0
7.02,4.96,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
6.24,3.87,3,3,8,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Media,1,0
5.99,3.51,-999,2,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Bassa,-999,-999
12.05,5.65,4,4,0,Altro,3,Spesso,2,Altro,3,Bassa,2,0
7.71,4.55,2,2,6,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,0,0
2.01,2.63,1,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.71,4.36,4,3,2,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
9.51,4.63,2,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
10.1,5.02,3,4,7,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
6.57,4.0,1,2,3,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
6.03,,1,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.57,3.77,1,2,1,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
9.42,3.97,3,2,1,Altro,3,Raramente,-999,***,3,Bassa,2,0
4.31,2.78,1,2,3,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
7.43,4.07,2,1,1,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
7.45,4.42,3,4,2,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
,3.4,3,2,3,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
7.89,4.96,2,2,2,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
6.8,3.45,2,4,5,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Media,1,0
5.39,3.36,1,2,2,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
5.61,3.52,3,3,4,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,0
5.77,3.9,2,2,4,Miglioramento muscolare,1,Spesso,2,Carboidrati,-999,***,-999,-999
8.42,5.61,3,3,5,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Media,1,0
7.96,4.13,3,3,5,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
7.11,3.78,2,3,2,Miglioramento muscolare,1,***,1,Equilibrata,0,Media,1,0
10.75,6.22,4,4,1,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
5.35,2.51,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.16,,3,3,5,Allenamento cardiovascolare,2,Spesso,-999,***,2,Bassa,2,0
4.36,2.93,2,1,2,Perdita peso,0,Mai,0,Proteica,1,Bassa,-999,-999
6.18,3.1,2,1,2,Perdita peso,0,Mai,0,Proteica,1,Alta,-999,-999
8.15,3.88,4,4,2,Altro,3,Spesso,2,Altro,3,Media,1,0
,3.49,3,4,0,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
5.8,3.07,2,2,2,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
5.73,3.33,2,4,1,Miglioramento muscolare,1,Spesso,2,Proteica,1,Alta,0,1
5.53,3.93,1,2,8,Perdita peso,0,Raramente,1,Equilibrata,0,Alta,0,1
6.51,2.18,2,3,5,Allenamento cardiovascolare,2,Mai,0,Proteica,1,Media,1,1
3.22,1.74,1,1,3,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
6.52,4.01,2,1,0,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
8.38,3.53,3,3,5,Altro,3,Raramente,-999,***,2,Bassa,2,1
8.55,4.84,4,3,3,***,-999,***,2,Altro,3,Bassa,2,0
7.51,,2,3,0,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,0
8.49,3.77,-999,3,4,Allenamento cardiovascolare,2,Raramente,-999,***,2,Bassa,2,0
5.17,,1,-999,-999,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
10.21,5.2,3,4,1,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
4.66,2.71,2,2,0,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
6.04,3.39,1,3,2,Miglioramento muscolare,1,Spesso,2,Equilibrata,0,Alta,0,1
2.49,2.43,1,2,4,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,0,1
10.84,4.66,4,4,1,Altro,3,Spesso,2,Altro,-999,Bassa,2,0
,5.31,4,4,2,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
8.13,2.91,2,4,0,Altro,3,Raramente,1,Carboidrati,2,Alta,0,0
8.97,4.28,3,4,1,Altro,3,Spesso,2,Carboidrati,-999,***,2,0
8.59,,2,2,4,***,0,Mai,-999,***,1,Media,1,1
6.6,2.73,2,2,1,***,-999,Mai,-999,***,0,Media,1,1
7.7,4.08,2,2,1,***,-999,Spesso,2,Carboidrati,2,Media,1,1
7.65,4.79,3,4,0,***,-999,Sempre,3,Altro,3,Bassa,2,0
11.06,5.25,3,4,0,Altro,3,Spesso,2,Altro,3,Bassa,2,0
4.85,3.75,1,2,4,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
8.62,5.47,3,3,3,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
5.57,3.16,1,2,5,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
8.27,4.46,2,2,2,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
6.05,2.7,1,3,1,Miglioramento muscolare,1,Spesso,2,Equilibrata,0,Media,1,1
3.55,3.19,1,2,2,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
6.33,3.4,2,2,2,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
6.6,3.35,3,4,2,Allenamento cardiovascolare,2,***,2,Altro,3,Media,1,0
4.56,3.06,2,2,0,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
9.28,4.78,3,3,0,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,0
9.44,4.75,4,4,1,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
9.51,5.29,3,4,0,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
9.9,4.45,3,4,4,Altro,3,Spesso,2,Altro,3,Media,1,0
7.35,5.18,2,2,0,***,-999,Mai,0,Equilibrata,0,Alta,0,0
5.93,4.15,3,2,7,Perdita peso,0,Mai,0,Proteica,1,Media,1,0
6.42,3.09,3,3,0,Altro,3,Raramente,1,Proteica,1,Bassa,2,0
7.2,3.64,3,3,4,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
5.54,3.68,1,2,3,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,0,1
5.21,4.11,3,2,1,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
3.81,3.38,1,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.18,3.86,2,1,0,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
7.86,4.66,3,2,1,Miglioramento muscolare,1,Mai,0,Carboidrati,2,Media,1,1
5.44,3.28,2,2,1,Miglioramento muscolare,1,Mai,0,Proteica,1,Alta,0,1
4.82,3.19,2,1,2,Perdita peso,0,Mai,0,Proteica,1,Bassa,2,1
10.24,5.07,3,3,2,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
3.42,1.96,1,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
10.01,5.24,4,3,4,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Bassa,2,0
6.7,4.09,4,2,4,Miglioramento muscolare,1,Spesso,2,Altro,3,Bassa,2,0
3.62,3.87,1,1,4,***,-999,Mai,0,Equilibrata,0,Alta,0,1
6.58,5.01,1,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
9.37,4.92,3,4,2,Altro,3,Spesso,2,Altro,3,Bassa,2,0
4.52,2.55,1,2,2,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
8.91,4.48,3,4,2,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Media,1,0
5.79,3.76,3,3,2,***,-999,Spesso,2,Carboidrati,2,Bassa,2,1
3.38,2.8,1,1,8,Perdita peso,0,Raramente,1,Equilibrata,0,Media,1,1
6.76,4.04,2,2,3,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
4.69,3.36,1,1,3,Perdita peso,0,Mai,0,Equilibrata,-999,***,1,1
4.76,3.55,2,1,5,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.62,4.47,3,4,3,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
10.59,5.55,3,-999,-999,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
12.61,6.38,3,4,2,Altro,3,Spesso,2,Altro,3,Media,1,0
6.97,4.53,-999,3,1,Miglioramento muscolare,1,Raramente,1,***,0,Alta,0,0
6.04,4.0,1,1,4,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
9.19,3.82,3,4,3,***,-999,Spesso,2,Altro,3,Media,1,0
6.43,3.5,1,3,5,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
6.42,,2,2,0,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,1,1
6.04,3.08,1,1,7,Perdita peso,0,Mai,0,Proteica,1,Alta,0,1
3.04,2.84,1,-999,-999,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Media,-999,-999
8.4,4.61,2,3,0,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
4.59,3.07,1,3,5,Miglioramento muscolare,1,Spesso,2,Proteica,1,Alta,0,1
,5.6,3,2,4,Altro,3,Spesso,2,Proteica,1,Bassa,2,0
8.72,3.72,3,4,1,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
11.65,,3,4,4,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
8.17,4.4,2,3,5,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,1
6.44,4.37,2,4,7,Allenamento cardiovascolare,2,Sempre,3,Carboidrati,2,Media,1,1
6.91,4.41,2,1,2,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
10.7,4.97,4,4,4,Allenamento cardiovascolare,2,***,3,Altro,3,Bassa,2,0
8.21,4.51,3,3,-999,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,0
12.07,5.6,4,4,3,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
8.53,5.48,2,2,6,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
4.97,3.7,1,2,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
5.12,1.73,1,2,4,Perdita peso,0,Mai,0,Equilibrata,0,Bassa,2,1
9.36,5.02,2,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Bassa,2,0
5.13,2.52,1,2,6,Miglioramento muscolare,1,Raramente,1,Proteica,1,Media,1,1
7.65,3.83,3,4,1,Allenamento cardiovascolare,2,Spesso,2,Proteica,1,Media,1,0
,4.1,3,2,1,Perdita peso,0,Raramente,1,***,1,Bassa,2,1
8.72,5.53,3,3,0,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,0
6.91,4.47,3,3,2,Allenamento cardiovascolare,2,Sempre,3,Altro,3,Media,1,0
5.75,3.8,-999,2,4,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
7.58,3.61,-999,4,2,Altro,3,Spesso,2,Carboidrati,2,Media,1,0
7.19,3.04,3,2,5,Allenamento cardiovascolare,2,Mai,0,Proteica,1,Bassa,2,1
9.02,4.28,4,2,0,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,0
9.19,4.93,1,2,0,Miglioramento muscolare,1,Raramente,1,Proteica,1,Alta,0,1
10.96,5.0,3,4,4,Altro,3,Sempre,3,Carboidrati,2,Alta,0,0
5.47,3.88,1,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Bassa,2,1
9.31,4.68,3,4,0,Allenamento cardiovascolare,2,Spesso,2,***,2,Media,1,0
6.96,4.22,1,2,2,***,-999,Raramente,1,Proteica,1,Alta,0,1
5.81,3.31,2,2,2,Miglioramento muscolare,1,Spesso,2,Proteica,1,Media,1,1
6.81,4.43,2,3,1,Allenamento cardiovascolare,2,Spesso,2,Carboidrati,2,Media,1,0
6.57,3.0,3,2,1,Miglioramento muscolare,1,Mai,0,Carboidrati,-999,Bassa,2,1
1.03,1.0,1,1,4,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
4.68,3.26,1,1,4,Miglioramento muscolare,1,Mai,0,Equilibrata,0,Bassa,2,1
9.71,4.66,4,3,0,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Bassa,2,0
7.07,4.19,1,2,5,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Alta,-999,-999
9.26,4.93,3,4,1,Altro,3,Spesso,2,Altro,3,Bassa,2,0
5.68,3.88,3,2,1,Miglioramento muscolare,1,Spesso,2,Carboidrati,2,Bassa,2,1
6.24,4.43,1,2,0,Perdita peso,0,Mai,0,Equilibrata,0,Media,1,1
8.73,4.36,4,2,2,Allenamento cardiovascolare,2,Raramente,-999,***,-999,***,1,0
5.59,4.3,1,1,1,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
8.44,4.3,3,3,1,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Bassa,2,0
11.21,4.99,3,4,8,Altro,3,Spesso,2,Carboidrati,2,Bassa,2,0
13.9,6.23,4,4,4,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
11.02,5.04,4,4,2,Altro,3,***,1,Altro,3,Bassa,2,0
6.22,3.31,2,-999,-999,Miglioramento muscolare,1,Mai,0,Equilibrata,-999,Alta,0,1
7.29,4.14,1,3,1,Miglioramento muscolare,1,Spesso,2,Equilibrata,0,Alta,0,1
11.64,,3,4,10,Altro,3,Sempre,3,Carboidrati,2,Bassa,2,0
,6.37,4,4,1,***,3,Sempre,3,Altro,3,Bassa,2,0
,5.02,3,2,2,Altro,3,Raramente,1,Carboidrati,2,Bassa,-999,-999
7.39,3.55,2,3,4,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Alta,0,0
8.33,4.15,-999,2,1,Perdita peso,0,Mai,0,Carboidrati,2,Media,1,1
4.27,3.18,1,2,2,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
10.0,5.67,3,3,1,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
7.08,3.87,4,4,4,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Media,1,0
